,dia da semana,periodo de funcionamento,store_id
2,sábado,10:00–22:00,69
3,domingo,15:00–22:00,69
4,segunda-feira,10:00–22:00,69
5,terça-feira,10:00–22:00,69
6,quarta-feira,10:00–22:00,69
0,quinta-feira,10:00–22:00,71
1,sexta-feira,10:00–22:00,71
2,sábado,10:00–22:00,71
3,domingo,15:00–21:00,71
4,segunda-feira,10:00–22:00,71
5,terça-feira,10:00–22:00,71
6,quarta-feira,10:00–22:00,71
0,quinta-feira,11:00–22:00,72
1,sexta-feira,11:00–22:00,72
2,sábado,11:00–22:00,72
3,domingo,11:00–22:00,72
4,segunda-feira,11:00–22:00,72
5,terça-feira,11:00–22:00,72
6,quarta-feira,11:00–22:00,72
0,quinta-feira,10:00–23:00,73
1,sexta-feira,10:00–23:00,73
2,sábado,10:00–23:00,73
3,domingo,11:00–22:00,73
4,segunda-feira,10:00–22:00,73
5,terça-feira,10:00–22:00,73
6,quarta-feira,10:00–22:00,73
0,quinta-feira,10:00–22:00,74
1,sexta-feira,10:00–22:00,74
2,sábado,10:00–22:00,74
3,domingo,14:00–21:00,74
4,segunda-feira,10:00–22:00,74
5,terça-feira,10:00–22:00,74
6,quarta-feira,10:00–22:00,74
0,quinta-feira,10:00–22:00,75
1,sexta-feira,10:00–22:00,75
2,sábado,10:00–22:00,75
3,domingo,14:00–21:00,75
4,segunda-feira,10:00–22:00,75
5,terça-feira,10:00–22:00,75
6,quarta-feira,10:00–22:00,75
0,quinta-feira,10:00–22:00,76
1,sexta-feira,10:00–22:00,76
2,sábado,10:00–22:00,76
3,domingo,14:00–21:00,76
4,segunda-feira,10:00–22:00,76
5,terça-feira,10:00–22:00,76
6,quarta-feira,10:00–22:00,76
0,quinta-feira,10:00–22:00,77
1,sexta-feira,10:00–22:00,77
2,sábado,10:00–22:00,77
3,domingo,14:00–21:00,77
4,segunda-feira,10:00–22:00,77
5,terça-feira,10:00–22:00,77
6,quarta-feira,10:00–22:00,77
0,quinta-feira,10:00–22:00,78
1,sexta-feira,10:00–22:00,78
2,sábado,10:00–22:00,78
3,domingo,14:00–20:00,78
4,segunda-feira,10:00–22:00,78
5,terça-feira,10:00–22:00,78
6,quarta-feira,10:00–22:00,78
0,quinta-feira,12:00–22:00,79
1,sexta-feira,12:00–22:00,79
2,sábado,12:00–22:00,79
3,domingo,12:00–16:00,79
4,segunda-feira,12:00–22:00,79
5,terça-feira,12:00–22:00,79
6,quarta-feira,12:00–22:00,79
0,quinta-feira,10:00–22:00,80
1,sexta-feira,10:00–22:00,80
2,sábado,10:00–22:00,80
3,domingo,14:00–21:00,80
4,segunda-feira,10:00–22:00,80
5,terça-feira,10:00–22:00,80
6,quarta-feira,10:00–22:00,80
0,quinta-feira,10:00–22:00,81
1,sexta-feira,10:00–22:00,81
2,sábado,10:00–22:00,81
3,domingo,14:00–21:00,81
4,segunda-feira,10:00–22:00,81
5,terça-feira,10:00–22:00,81
6,quarta-feira,10:00–22:00,81
0,quinta-feira,10:00–22:00,83
1,sexta-feira,10:00–22:00,83
2,sábado,10:00–22:00,83
3,domingo,14:00–21:00,83
4,segunda-feira,10:00–22:00,83
5,terça-feira,10:00–22:00,83
6,quarta-feira,10:00–22:00,83
0,quinta-feira,12:00–20:00,84
1,sexta-feira,12:00–20:00,84
2,sábado,Fechado,84
3,domingo,Fechado,84
4,segunda-feira,12:00–20:00,84
5,terça-feira,12:00–20:00,84
6,quarta-feira,12:00–20:00,84
0,quinta-feira,10:00–22:00,86
1,sexta-feira,10:00–22:00,86
2,sábado,10:00–22:00,86
3,domingo,12:00–21:00,86
4,segunda-feira,10:00–22:00,86
5,terça-feira,10:00–22:00,86
6,quarta-feira,10:00–22:00,86
0,quinta-feira,12:00–20:00,87
1,sexta-feira,12:00–20:00,87
2,sábado,12:00–20:00,87
3,domingo,Fechado,87
4,segunda-feira,12:00–20:00,87
5,terça-feira,12:00–20:00,87
6,quarta-feira,12:00–20:00,87
0,quinta-feira,10:00–22:00,89
1,sexta-feira,10:00–22:00,89
2,sábado,10:00–22:00,89
3,domingo,14:00–21:00,89
4,segunda-feira,10:00–22:00,89
5,terça-feira,10:00–22:00,89
6,quarta-feira,10:00–22:00,89
0,quinta-feira,08:00–18:00,91
1,sexta-feira,08:00–18:00,91
2,sábado,Fechado,91
3,domingo,Fechado,91
4,segunda-feira,08:00–18:00,91
5,terça-feira,08:00–18:00,91
6,quarta-feira,08:00–18:00,91
0,quinta-feira,10:00–22:00,94
1,sexta-feira,10:00–22:00,94
2,sábado,10:00–22:00,94
3,domingo,14:00–21:00,94
4,segunda-feira,10:00–22:00,94
5,terça-feira,10:00–22:00,94
6,quarta-feira,10:00–22:00,94
0,quinta-feira,10:00–22:00,97
1,sexta-feira,10:00–22:00,97
2,sábado,10:00–22:00,97
3,domingo,15:00–21:00,97
4,segunda-feira,10:00–22:00,97
5,terça-feira,10:00–22:00,97
6,quarta-feira,10:00–22:00,97
0,quinta-feira,10:00–22:00,98
1,sexta-feira,10:00–22:00,98
2,sábado,10:00–22:00,98
3,domingo,14:00–21:00,98
4,segunda-feira,10:00–22:00,98
5,terça-feira,10:00–22:00,98
6,quarta-feira,10:00–22:00,98
0,quinta-feira,10:00–22:00,99
1,sexta-feira,10:00–22:00,99
2,sábado,10:00–22:00,99
3,domingo,13:00–21:00,99
4,segunda-feira,10:00–22:00,99
5,terça-feira,10:00–22:00,99
6,quarta-feira,10:00–22:00,99
0,quinta-feira,10:00–22:00,102
1,sexta-feira,10:00–22:00,102
2,sábado,10:00–22:00,102
3,domingo,14:00–21:00,102
4,segunda-feira,10:00–22:00,102
5,terça-feira,10:00–22:00,102
6,quarta-feira,10:00–22:00,102
0,quinta-feira,11:30–00:00,103
1,sexta-feira,11:30–00:00,103
2,sábado,11:30–00:00,103
3,domingo,12:00–00:00,103
4,segunda-feira,11:30–00:00,103
5,terça-feira,11:30–00:00,103
6,quarta-feira,11:30–00:00,103
0,quinta-feira,10:00–22:00,105
1,sexta-feira,10:00–22:00,105
